player_id,headshot,name,jersey,s/c,gp,gs,w,l,otl,sa,svs,ga,sv%,gaa,toi,so,g,a,p,pim
8479292,https://assets.nhle.com/mugs/nhl/20242025/WSH/8479292.png,Charlie Lindgren,79,R,8,8,4,4,0,204,183,21,0.897,2.66,473:23,0,0,0,0,0
8480313,https://assets.nhle.com/mugs/nhl/20242025/WSH/8480313.png,Logan Thompson,48,R,9,9,8,0,1,277,253,24,0.913,2.63,547:25,0,0,0,0,0
